Classifier model,  Accuracy,  AUC,  F1
Random Forest,0.8796296296296297,0.9314516129032259,0.8505747126436782
Decision Tree,0.75,0.7261570827489481,0.6582278481012658
Nearest Neighbors,0.75,0.8243338008415146,0.674698795180723
AdaBoost,0.8055555555555556,0.8797335203366059,0.7586206896551724
Naive Bayes,0.6944444444444444,0.7720897615708275,0.6597938144329897
